"codigo","componente","segunda_linha"
"P0366","Sensor 2 de Fase (CMP) - Banco 1.","Problema de desempenho / Fora da faixa."
"P0367","Sensor 2 de Fase (CMP) - Banco 1.","Curto-circuito ao negativo."
"P0368","Sensor 2 de Fase (CMP) - Banco 1.","Curto-circuito ao positivo."
"P0369","Sensor 2 de Fase (CMP) - Banco 1.","Circuito intermitente."
"P036A","Sinal de Controle da Bobina de Ignição 7.","Circuito aberto."
"P036B","Sinal de Controle da Bobina de Ignição 7.","Curto-circuito ao negativo."
"P036C","Sinal de Controle da Bobina de Ignição 7.","Curto-circuito ao positivo."
"P036D","Sinal de Controle da Bobina de Ignição 8.","Circuito aberto."
"P036E","Sinal de Controle da Bobina de Ignição 8.","Curto-circuito ao negativo."
"P036F","Sinal de Controle da Bobina de Ignição 8.","Curto-circuito ao positivo."
"P0370","Sinal 1 de Referência de Sincronismo (Alta Resolução).","Falha elétrica no circuito ou componente."
"P0371","Sinal 1 de Referência de Sincronismo (Alta Resolução).","Frequência do sinal muito alta."
"P0372","Sinal 1 de Referência de Sincronismo (Alta Resolução).","Frequência do sinal muito baixa."
"P0373","Sinal 1 de Referência de Sincronismo (Alta Resolução).","Circuito intermitente."
"P0374","Sinal 1 de Referência de Sincronismo (Alta Resolução).","Ausência de sinal."
"P0375","Sinal 2 de Referência de Sincronismo (Alta Resolução).","Falha elétrica no circuito ou componente."
"P0376","Sinal 2 de Referência de Sincronismo (Alta Resolução).","Frequência do sinal muito alta."
"P0377","Sinal 2 de Referência de Sincronismo (Alta Resolução).","Frequência do sinal muito baixa."
"P0378","Sinal 2 de Referência de Sincronismo (Alta Resolução).","Circuito intermitente."
"P0379","Sinal 2 de Referência de Sincronismo (Alta Resolução).","Ausência de sinal."
"P037A","Indicador das Velas Aquecedoras.","Curto-circuito ao negativo."
"P037B","Indicador das Velas Aquecedoras.","Curto-circuito ao positivo."
"P037C","Ajuste de Perfil de Cames - Eixo Comando de Válvulas.","Problema de desempenho / Posição não alcançada."
"P037D","Sistema de Monitoramento das Velas Aquecedoras.","Falha elétrica no circuito ou componente."
"P037E","Sistema de Monitoramento das Velas Aquecedoras.","Curto-circuito ao negativo."
"P037F","Sistema de Monitoramento das Velas Aquecedoras.","Curto-circuito ao positivo."
"P0380","Velas Aquecedoras 1.","Falha elétrica no circuito ou componente."
"P0381","Indicador das Velas Aquecedoras.","Circuito aberto."
"P0382","Velas Aquecedoras 2.","Falha elétrica no circuito ou componente."
"P0383","Módulo 1 das Velas Aquecedoras.","Curto-circuito ao negativo."
"P0384","Módulo 1 das Velas Aquecedoras.","Curto-circuito ao positivo."
"P0385","Sensor 2 de Rotação do Motor (CKP).","Falha elétrica no circuito ou componente."
"P0386","Sensor 2 de Rotação do Motor (CKP).","Problema de desempenho / Fora da faixa."
"P0387","Sensor 2 de Rotação do Motor (CKP).","Curto-circuito ao negativo."
"P0388","Sensor 2 de Rotação do Motor (CKP).","Curto-circuito ao positivo."
"P0389","Sensor 2 de Rotação do Motor (CKP).","Circuito intermitente."
"P038A","Sinal de Controle da Bobina de Ignição 9.","Circuito aberto."
"P038B","Sinal de Controle da Bobina de Ignição 9.","Curto-circuito ao negativo."
"P038C","Sinal de Controle da Bobina de Ignição 9.","Curto-circuito ao positivo."
"P038D","Sinal de Controle da Bobina de Ignição 10.","Circuito aberto."
"P038E","Sinal de Controle da Bobina de Ignição 10.","Curto-circuito ao negativo."
"P038F","Sinal de Controle da Bobina de Ignição 10.","Curto-circuito ao positivo."
"P0390","Sensor 2 de Fase (CMP) - Banco 2.","Falha elétrica no circuito ou componente."
"P0391","Sensor 2 de Fase (CMP) - Banco 2.","Problema de desempenho / Fora da faixa."
"P0392","Sensor 2 de Fase (CMP) - Banco 2.","Curto-circuito ao negativo."
"P0393","Sensor 2 de Fase (CMP) - Banco 2.","Curto-circuito ao positivo."
"P0394","Sensor 2 de Fase (CMP) - Banco 2.","Circuito intermitente."
"P0395","Sensor de Pressão do Cilindro 1.","Falha elétrica no circuito ou componente."
"P0396","Sensor de Pressão do Cilindro 1.","Problema de desempenho / Fora da faixa."
"P0397","Sensor de Pressão do Cilindro 1.","Curto-circuito ao negativo."
"P0398","Sensor de Pressão do Cilindro 1.","Curto-circuito ao positivo."
"P0399","Sensor de Pressão do Cilindro 1.","Circuito intermitente."
"P039A","Pressão do Cilindro 1.","Pressão muito baixa."
"P039B","Pressão do Cilindro 1.","Pressão muito alta."
"P039C","Pressão do Cilindro 1.","Variação de pressão muito baixa."
"P039D","Pressão do Cilindro 1.","Variação de pressão muito alta."
"P039E","Combustão do Cilindro 1.","Problema de desempenho."
"P039F","Sensor de Pressão do Cilindro 2.","Falha elétrica no circuito ou componente."
"P03A0","Sensor de Pressão do Cilindro 2.","Problema de desempenho / Fora da faixa."
"P03A1","Sensor de Pressão do Cilindro 2.","Curto-circuito ao negativo."
"P03A2","Sensor de Pressão do Cilindro 2.","Curto-circuito ao positivo."
"P03A3","Sensor de Pressão do Cilindro 2.","Circuito intermitente."
"P03A4","Pressão do Cilindro 2.","Pressão muito baixa."
"P03A5","Pressão do Cilindro 2.","Pressão muito alta."
"P03A6","Pressão do Cilindro 2.","Variação de pressão muito baixa."
"P03A7","Pressão do Cilindro 2.","Variação de pressão muito alta."
"P03A8","Combustão do Cilindro 2.","Problema de desempenho."
"P03A9","Sensor de Pressão do Cilindro 3.","Falha elétrica no circuito ou componente."
"P03AA","Sensor de Pressão do Cilindro 3.","Problema de desempenho / Fora da faixa."
"P03AB","Sensor de Pressão do Cilindro 3.","Curto-circuito ao negativo."
"P03AC","Sensor de Pressão do Cilindro 3.","Curto-circuito ao positivo."
"P03AD","Sensor de Pressão do Cilindro 3.","Circuito intermitente."
"P03AE","Pressão do Cilindro 3.","Pressão muito baixa."
"P03AF","Pressão do Cilindro 3.","Pressão muito alta."
"P03B0","Pressão do Cilindro 3.","Variação de pressão muito baixa."
"P03B1","Pressão do Cilindro 3.","Variação de pressão muito alta."
"P03B2","Combustão do Cilindro 3.","Problema de desempenho."
"P03B3","Sensor de Pressão do Cilindro 4.","Falha elétrica no circuito ou componente."
"P03B4","Sensor de Pressão do Cilindro 4.","Problema de desempenho / Fora da faixa."
"P03B5","Sensor de Pressão do Cilindro 4.","Curto-circuito ao negativo."
"P03B6","Sensor de Pressão do Cilindro 4.","Curto-circuito ao positivo."
"P03B7","Sensor de Pressão do Cilindro 4.","Circuito intermitente."
"P03B8","Pressão do Cilindro 4.","Pressão muito baixa."
"P03B9","Pressão do Cilindro 4.","Pressão muito alta."
"P03BA","Pressão do Cilindro 4.","Variação de pressão muito baixa."
"P03BB","Pressão do Cilindro 4.","Variação de pressão muito alta."
"P03BC","Combustão do Cilindro 4.","Problema de desempenho."
"P03BD","Sensor de Pressão do Cilindro 5.","Falha elétrica no circuito ou componente."
"P03BE","Sensor de Pressão do Cilindro 5.","Problema de desempenho / Fora da faixa."
"P03BF","Sensor de Pressão do Cilindro 5.","Curto-circuito ao negativo."
"P03C0","Sensor de Pressão do Cilindro 5.","Curto-circuito ao positivo."
"P03C1","Sensor de Pressão do Cilindro 5.","Circuito intermitente."
"P03C2","Pressão do Cilindro 5.","Pressão muito baixa."
"P03C3","Pressão do Cilindro 5.","Pressão muito alta."
"P03C4","Pressão do Cilindro 5.","Variação de pressão muito baixa."
"P03C5","Pressão do Cilindro 5.","Variação de pressão muito alta."
"P03C6","Combustão do Cilindro 5.","Problema de desempenho."
"P03C7","Sensor de Pressão do Cilindro 6.","Falha elétrica no circuito ou componente."
"P03C8","Sensor de Pressão do Cilindro 6.","Problema de desempenho / Fora da faixa."
"P03C9","Sensor de Pressão do Cilindro 6.","Curto-circuito ao negativo."
"P03CA","Sensor de Pressão do Cilindro 6.","Curto-circuito ao positivo."
"P03CB","Sensor de Pressão do Cilindro 6.","Circuito intermitente."
"P03CC","Pressão do Cilindro 6.","Pressão muito baixa."
"P03CD","Pressão do Cilindro 6.","Pressão muito alta."
"P03CE","Pressão do Cilindro 6.","Variação de pressão muito baixa."
"P03CF","Pressão do Cilindro 6.","Variação de pressão muito alta."
"P03D0","Combustão do Cilindro 6.","Problema de desempenho."
"P03D1","Sensor de Pressão do Cilindro 7.","Falha elétrica no circuito ou componente."
"P03D2","Sensor de Pressão do Cilindro 7.","Problema de desempenho / Fora da faixa."
"P03D3","Sensor de Pressão do Cilindro 7.","Curto-circuito ao negativo."
"P03D4","Sensor de Pressão do Cilindro 7.","Curto-circuito ao positivo."
"P03D5","Sensor de Pressão do Cilindro 7.","Circuito intermitente."
"P03D6","Pressão do Cilindro 7.","Pressão muito baixa."
"P03D7","Pressão do Cilindro 7.","Pressão muito alta."
"P03D8","Pressão do Cilindro 7.","Variação de pressão muito baixa."
"P03D9","Pressão do Cilindro 7.","Variação de pressão muito alta."
"P03DA","Combustão do Cilindro 7.","Problema de desempenho."
"P03DB","Sensor de Pressão do Cilindro 8.","Falha elétrica no circuito ou componente."
"P03DC","Sensor de Pressão do Cilindro 8.","Problema de desempenho / Fora da faixa."
"P03DD","Sensor de Pressão do Cilindro 8.","Curto-circuito ao negativo."
"P03DE","Sensor de Pressão do Cilindro 8.","Curto-circuito ao positivo."
"P03DF","Sensor de Pressão do Cilindro 8.","Circuito intermitente."
"P03E0","Pressão do Cilindro 8.","Pressão muito baixa."
"P03E1","Pressão do Cilindro 8.","Pressão muito alta."
"P03E2","Pressão do Cilindro 8.","Variação de pressão muito baixa."
"P03E3","Pressão do Cilindro 8.","Variação de pressão muito alta."
"P03E4","Combustão do Cilindro 8.","Problema de desempenho."
"P03E5","Sensor 3 de Posição do Eixo Comando de Válvulas da Admissão - Banco 1.","Falha elétrica no circuito ou componente."
"P03E6","Sensor 3 de Posição do Eixo Comando de Válvulas da Admissão - Banco 1.","Problema de desempenho / Fora da faixa."
"P03E7","Sensor 3 de Posição do Eixo Comando de Válvulas da Admissão - Banco 1.","Curto-circuito ao negativo."
"P03E8","Sensor 3 de Posição do Eixo Comando de Válvulas da Admissão - Banco 1.","Curto-circuito ao positivo."
"P03E9","Sensor 1 de Posição do Atuador de Ajuste de Perfil de Cames - Eixo Comando de Válvulas da Admissão.","Limite de aprendizado excedido."
"P03EA","Sensor 2 de Posição do Atuador de Ajuste de Perfil de Cames - Eixo Comando de Válvulas da Admissão.","Limite de aprendizado excedido."
"P03EB","Sensor 3 de Posição do Atuador de Ajuste de Perfil de Cames - Eixo Comando de Válvulas da Admissão.","Limite de aprendizado excedido."
"P03EC","Atuador 3 de Ajuste de Perfil de Cames. Eixo Comando de Válvulas de Admissão - Banco 1.","Circuito aberto."
"P03ED","Atuador 3 de Ajuste de Perfil de Cames. Eixo Comando de Válvulas de Admissão - Banco 1.","Curto-circuito ao negativo."
"P03EE","Atuador 3 de Ajuste de Perfil de Cames. Eixo Comando de Válvulas de Admissão - Banco 1.","Curto-circuito ao positivo."
"P03EF","Atuador 3 de Ajuste de Perfil de Cames. Eixo Comando de Válvulas de Admissão - Banco 1.","Atuador preso na posição desligado / Problema de desempenho."
"P03F0","Atuador 3 de Ajuste de Perfil de Cames. Eixo Comando de Válvulas de Admissão - Banco 1.","Atuador preso na posição ligado."
"P03F1","Atuador 3 de Ajuste de Perfil de Cames. Eixo Comando de Válvulas de Escape - Banco 1.","Circuito aberto."
"P03F2","Atuador 3 de Ajuste de Perfil de Cames. Eixo Comando de Válvulas de Escape - Banco 1.","Curto-circuito ao negativo."
"P03F3","Atuador 3 de Ajuste de Perfil de Cames. Eixo Comando de Válvulas de Escape - Banco 1.","Curto-circuito ao positivo."
"P03F4","Atuador 3 de Ajuste de Perfil de Cames. Eixo Comando de Válvulas de Escape - Banco 1.","Atuador preso na posição desligado / Problema de desempenho."
"P03F5","Atuador 3 de Ajuste de Perfil de Cames. Eixo Comando de Válvulas de Escape - Banco 1.","Atuador preso na posição ligado."
"P03F6","Sensor 3 de Posição do Atuador de Ajuste de Perfil de Cames. Eixo Comando de Válvulas de Escape - Banco 1.","Circuito aberto."
"P03F7","Sensor 3 de Posição do Atuador de Ajuste de Perfil de Cames. Eixo Comando de Válvulas de Escape - Banco 1.","Problema de desempenho / Fora da faixa."
"P03F8","Sensor 3 de Posição do Atuador de Ajuste de Perfil de Cames. Eixo Comando de Válvulas de Escape - Banco 1.","Curto-circuito ao negativo."
"P03F9","Sensor 3 de Posição do Atuador de Ajuste de Perfil de Cames. Eixo Comando de Válvulas de Escape - Banco 1.","Curto-circuito ao positivo."
"P03FA","Sinal de Controle da Bobina de Ignição 11.","Circuito aberto."
"P03FB","Sinal de Controle da Bobina de Ignição 11.","Curto-circuito ao negativo."
"P03FC","Sinal de Controle da Bobina de Ignição 11.","Curto-circuito ao positivo."
"P03FD","Sinal de Controle da Bobina de Ignição 12.","Circuito aberto."
"P03FE","Sinal de Controle da Bobina de Ignição 12.","Curto-circuito ao negativo."
"P03FF","Sinal de Controle da Bobina de Ignição 12.","Curto-circuito ao positivo."
"P0400","EGR 1.","Problema mecânico / Fluxo incorreto."
"P0401","EGR 1.","Fluxo muito baixo ou insuficiente."
"P0402","EGR 1.","Fluxo muito alto ou excessivo."
"P0403","Eletroválvula EGR 1.","Circuito aberto."
"P0404","Eletroválvula EGR 1.","Problema de desempenho / Fora da faixa."
"P0405","Sensor 1 de Posição da Eletroválvula EGR.","Curto-circuito ao negativo."
"P0406","Sensor 1 de Posição da Eletroválvula EGR.","Curto-circuito ao positivo."
"P0407","Sensor 2 de Posição da Eletroválvula EGR.","Curto-circuito ao negativo."
"P0408","Sensor 2 de Posição da Eletroválvula EGR.","Curto-circuito ao positivo."
"P0409","Sensor 1 de Posição da Eletroválvula EGR.","Falha elétrica no circuito ou componente."
"P040A","Sensor 1 de Temperatura da EGR.","Falha elétrica no circuito ou componente."
"P040B","Sensor 1 de Temperatura da EGR.","Problema de desempenho / Fora da faixa."
"P040C","Sensor 1 de Temperatura da EGR.","Curto-circuito ao negativo."
"P040D","Sensor 1 de Temperatura da EGR.","Curto-circuito ao positivo."
"P040E","Sensor 1 de Temperatura da EGR.","Circuito intermitente."
"P040F","Sensor 1 / 2 de Temperatura da EGR.","Falta de correlação entre os sinais."
"P0410","Sistema de Injeção de Ar Secundário 1.","Falha mecânica."
"P0411","Sistema de Injeção de Ar Secundário 1.","Fluxo incorreto detectado."
"P0412","Eletroválvula 1 de Comutação do Sistema de Injeção de Ar Secundário.","Falha elétrica no circuito ou componente."
"P0413","Eletroválvula 1 de Comutação do Sistema de Injeção de Ar Secundário.","Circuito aberto."
"P0414","Eletroválvula 1 de Comutação do Sistema de Injeção de Ar Secundário.","Curto-circuito ao positivo."
"P0415","Eletroválvula 2 de Comutação do Sistema de Injeção de Ar Secundário.","Falha elétrica no circuito ou componente."
"P0416","Eletroválvula 2 de Comutação do Sistema de Injeção de Ar Secundário.","Circuito aberto."
"P0417","Eletroválvula 2 de Comutação do Sistema de Injeção de Ar Secundário.","Curto-circuito ao positivo."
"P0418","Controle do Sistema de Injeção de Ar Secundário 1.","Circuito aberto."
"P0419","Controle do Sistema de Injeção de Ar Secundário 2.","Circuito aberto."
"P041A","Sensor 2 de Temperatura da EGR.","Falha elétrica no circuito ou componente."
"P041B","Sensor 2 de Temperatura da EGR.","Problema de desempenho / Fora da faixa."
"P041C","Sensor 2 de Temperatura da EGR.","Curto-circuito ao negativo."
"P041D","Sensor 2 de Temperatura da EGR.","Curto-circuito ao positivo."
"P041E","Sensor 2 de Temperatura da EGR.","Circuito intermitente."
"P041F","Eletroválvula 1 de Comutação do Sistema de Injeção de Ar Secundário.","Curto-circuito ao negativo."
"P0420","Catalisador - Banco 1.","Eficiência abaixo do esperado."
"P0421","Catalisador 1 - Banco 1.","Eficiência abaixo do esperado."
"P0422","Catalisador 2 - Banco 1.","Eficiência abaixo do esperado."
"P0423","Catalisador Aquecido - Banco 1.","Eficiência abaixo do esperado."
"P0424","Catalisador Aquecido - Banco 1.","Temperatura abaixo do esperado."
"P0425","Sensor de Temperatura dos Gases de Escape (Pré-Catalisador) - Banco 1.","Falha elétrica no circuito ou componente."
"P0426","Sensor de Temperatura dos Gases de Escape (Pré-Catalisador) - Banco 1.","Problema de desempenho / Fora da faixa."
"P0427","Sensor de Temperatura dos Gases de Escape (Pré-Catalisador) - Banco 1.","Curto-circuito ao negativo."
"P0428","Sensor de Temperatura dos Gases de Escape (Pré-Catalisador) - Banco 1.","Curto-circuito ao positivo."
"P0429","Aquecedor do Catalisador - Banco 1.","Circuito aberto."
"P042A","Sensor de Temperatura dos Gases de Escape (Pós-Catalisador) - Banco 1.","Falha elétrica no circuito ou componente."
"P042B","Sensor de Temperatura dos Gases de Escape (Pós-Catalisador) - Banco 1.","Problema de desempenho / Fora da faixa."
"P042C","Sensor de Temperatura dos Gases de Escape (Pós-Catalisador) - Banco 1.","Curto-circuito ao negativo."
"P042D","Sensor de Temperatura dos Gases de Escape (Pós-Catalisador) - Banco 1.","Curto-circuito ao positivo."
"P042E","Eletroválvula EGR 1.","Eletroválvula presa na posição aberta."
"P042F","Eletroválvula EGR 1.","Eletroválvula presa na posição fechada."
"P0430","Catalisador - Banco 2.","Eficiência abaixo do esperado."
"P0431","Catalisador 1 - Banco 2.","Eficiência abaixo do esperado."
"P0432","Catalisador 2 - Banco 2.","Eficiência abaixo do esperado."
"P0433","Catalisador Aquecido - Banco 2.","Eficiência abaixo do esperado."
"P0434","Catalisador Aquecido - Banco 2.","Temperatura abaixo do esperado."
"P0435","Sensor de Temperatura dos Gases de Escape (Pré-Catalisador) - Banco 2.","Falha elétrica no circuito ou componente."
"P0436","Sensor de Temperatura dos Gases de Escape (Pré-Catalisador) - Banco 2.","Problema de desempenho / Fora da faixa."
"P0437","Sensor de Temperatura dos Gases de Escape (Pré-Catalisador) - Banco 2.","Curto-circuito ao negativo."
"P0438","Sensor de Temperatura dos Gases de Escape (Pré-Catalisador) - Banco 2.","Curto-circuito ao positivo."
"P0439","Aquecedor do Catalisador - Banco 2.","Circuito aberto."
"P043A","Sensor de Temperatura dos Gases de Escape (Pós-Catalisador) - Banco 2.","Falha elétrica no circuito ou componente."
"P043B","Sensor de Temperatura dos Gases de Escape (Pós-Catalisador) - Banco 2.","Problema de desempenho / Fora da faixa."
"P043C","Sensor de Temperatura dos Gases de Escape (Pós-Catalisador) - Banco 2.","Curto-circuito ao negativo."
"P043D","Sensor de Temperatura dos Gases de Escape (Pós-Catalisador) - Banco 2.","Curto-circuito ao positivo."
"P043E","Sistema de Detecção de Vazamento na Linha do Cânister.","Fluxo muito baixo através do orifício de referência."
"P043F","Sistema de Detecção de Vazamento na Linha do Cânister.","Fluxo muito alto através do orifício de referência."
"P0440","Linha do Cânister.","Falha mecânica no sistema."
"P0441","Linha do Cânister.","Falha mecânica / Fluxo de purga incorreto."
"P0442","Linha do Cânister.","Detectado pequeno vazamento."
"P0443","Eletroválvula 1 de Purga do Cânister.","Falha elétrica no circuito ou componente."
"P0444","Eletroválvula 1 de Purga do Cânister.","Circuito aberto."
"P0445","Eletroválvula 1 de Purga do Cânister.","Curto-circuito ao positivo."
"P0446","Eletroválvula de Ventilação do Cânister.","Falha elétrica no circuito ou componente."
"P0447","Eletroválvula de Ventilação do Cânister.","Circuito aberto."
"P0448","Eletroválvula de Ventilação do Cânister.","Curto-circuito ao positivo."
"P0449","Eletroválvula de Ventilação do Cânister.","Circuito aberto."
"P044A","Sensor 3 de Posição da Eletroválvula EGR.","Falha elétrica no circuito ou componente."
"P044B","Sensor 3 de Posição da Eletroválvula EGR.","Problema de desempenho / Fora da faixa."
"P044C","Sensor 3 de Posição da Eletroválvula EGR.","Curto-circuito ao negativo."
"P044D","Sensor 3 de Posição da Eletroválvula EGR.","Curto-circuito ao positivo."
"P044E","Sensor 3 de Posição da Eletroválvula EGR.","Circuito intermitente."
"P044F","Eletroválvula 1 de Comutação do Sistema de Injeção de Ar Secundário.","Curto-circuito ao positivo."
"P0450","Sensor/Interruptor 1 de Pressão dos Vapores de Combustível - Linha de Purga do Cânister.","Falha elétrica no circuito ou componente."
"P0451","Sensor/Interruptor 1 de Pressão dos Vapores de Combustível - Linha de Purga do Cânister.","Problema de desempenho / Fora da faixa."
"P0452","Sensor/Interruptor 1 de Pressão dos Vapores de Combustível - Linha de Purga do Cânister.","Curto-circuito ao negativo."
"P0453","Sensor/Interruptor 1 de Pressão dos Vapores de Combustível - Linha de Purga do Cânister.","Curto-circuito ao positivo."
"P0454","Sensor/Interruptor 1 de Pressão dos Vapores de Combustível - Linha de Purga do Cânister.","Circuito intermitente."
"P0455","Linha do Cânister.","Detectado um grande vazamento."
"P0456","Linha do Cânister.","Detectado um vazamento muito pequeno."
"P0457","Linha do Cânister.","Detectado ausência da tampa do tanque de combustível."
"P0458","Eletroválvula 1 de Purga do Cânister.","Curto-circuito ao negativo."
"P0459","Eletroválvula 1 de Purga do Cânister.","Curto-circuito ao positivo."
"P045A","Eletroválvula EGR 2.","Circuito aberto."
"P045B","Eletroválvula EGR 2.","Problema de desempenho / Fora da faixa."
"P045C","Eletroválvula EGR 2.","Curto-circuito ao negativo."
"P045D","Eletroválvula EGR 2.","Curto-circuito ao positivo."
"P045E","Eletroválvula EGR 2.","Eletroválvula presa na posição aberta."
"P045F","Eletroválvula EGR 2.","Eletroválvula presa na posição fechada."
"P0460","Sensor 1 de Nível de Combustível do Tanque.","Falha elétrica no circuito ou componente."
"P0461","Sensor 1 de Nível de Combustível do Tanque.","Problema de desempenho / Fora da faixa."
"P0462","Sensor 1 de Nível de Combustível do Tanque.","Curto-circuito ao negativo."
"P0463","Sensor 1 de Nível de Combustível do Tanque.","Curto-circuito ao positivo."
"P0464","Sensor 1 de Nível de Combustível do Tanque.","Circuito intermitente."
"P0465","Sensor de Fluxo de Purga do Cânister.","Falha elétrica no circuito ou componente."
"P0466","Sensor de Fluxo de Purga do Cânister.","Problema de desempenho / Fora da faixa."
"P0467","Sensor de Fluxo de Purga do Cânister.","Curto-circuito ao negativo."
"P0468","Sensor de Fluxo de Purga do Cânister.","Curto-circuito ao positivo."
"P0469","Sensor de Fluxo de Purga do Cânister.","Circuito intermitente."
"P046A","Sensores de Temperatura dos Gases de Escape (Pré-Catalisador / Pós-Catalisador) - Banco 1.","Falta de correlação entre os sinais."
"P046B","Sensores de Temperatura dos Gases de Escape (Pré-Catalisador / Pós-Catalisador) - Banco 2.","Falta de correlação entre os sinais."
"P046C","Sensor 1 de Posição da Eletroválvula EGR.","Problema de desempenho / Fora da faixa."
"P046D","Sensor 1 de Posição da Eletroválvula EGR.","Circuito intermitente."
"P046E","Sensor 2 de Posição da Eletroválvula EGR.","Problema de desempenho / Fora da faixa."
"P046F","Sensor 2 de Posição da Eletroválvula EGR.","Circuito intermitente."
"P0470","Sensor 1 de Pressão dos Gases de Escape.","Falha elétrica no circuito ou componente."
"P0471","Sensor 1 de Pressão dos Gases de Escape.","Problema de desempenho / Fora da faixa."
"P0472","Sensor 1 de Pressão dos Gases de Escape.","Curto-circuito ao negativo."
"P0473","Sensor 1 de Pressão dos Gases de Escape.","Curto-circuito ao positivo."
"P0474","Sensor 1 de Pressão dos Gases de Escape.","Circuito intermitente."
"P0475","Eletroválvula 1 de Controle da Pressão dos Gases de Escape.","Circuito aberto."
"P0476","Eletroválvula 1 de Controle da Pressão dos Gases de Escape.","Problema de desempenho / Fora da faixa."
"P0477","Eletroválvula 1 de Controle da Pressão dos Gases de Escape.","Curto-circuito ao negativo."
"P0478","Eletroválvula 1 de Controle da Pressão dos Gases de Escape.","Curto-circuito ao positivo."
"P0479","Eletroválvula 1 de Controle da Pressão dos Gases de Escape.","Circuito intermitente."
"P047A","Sensor 2 de Pressão dos Gases de Escape.","Falha elétrica no circuito ou componente."
"P047B","Sensor 2 de Pressão dos Gases de Escape.","Problema de desempenho / Fora da faixa."
"P047C","Sensor 2 de Pressão dos Gases de Escape.","Curto-circuito ao negativo."
"P047D","Sensor 2 de Pressão dos Gases de Escape.","Curto-circuito ao positivo."
"P047E","Sensor 2 de Pressão dos Gases de Escape.","Circuito intermitente."
"P047F","Eletroválvula 1 de Controle da Pressão dos Gases de Escape.","Eletroválvula presa na posição aberta."
"P0480","Eletroventilador do Radiador 1.","Falha elétrica no circuito ou componente."
"P0481","Eletroventilador do Radiador 2.","Falha elétrica no circuito ou componente."
"P0482","Eletroventilador do Radiador 3.","Falha elétrica no circuito ou componente."
"P0483","Eletroventilador do Radiador.","Funcionamento inadequado do componente."
"P0484","Eletroventilador do Radiador.","Corrente consumida no circuito muito alta."
"P0485","Eletroventilador do Radiador.","Circuito de alimentação ou aterramento."
"P0486","Sensor 2 de Posição da Eletroválvula EGR.","Falha elétrica no circuito ou componente."
"P0487","Controle da Borboleta da EGR 1.","Circuito aberto."
"P0488","Controle da Borboleta da EGR 1.","Problema de desempenho / Fora da faixa."
"P0489","Eletroválvula EGR 1.","Curto-circuito ao negativo."
"P048A","Eletroválvula 1 de Controle da Pressão dos Gases de Escape.","Eletroválvula presa na posição fechada."
"P048B","Sensor/Interruptor de Posição da Eletroválvula 1 de Controle da Pressão dos Gases de Escape.","Falha elétrica no circuito ou componente."
"P048C","Sensor/Interruptor de Posição da Eletroválvula 1 de Controle da Pressão dos Gases de Escape.","Problema de desempenho / Fora da faixa."
"P048D","Sensor/Interruptor de Posição da Eletroválvula 1 de Controle da Pressão dos Gases de Escape.","Curto-circuito ao negativo."
"P048E","Sensor/Interruptor de Posição da Eletroválvula 1 de Controle da Pressão dos Gases de Escape.","Curto-circuito ao positivo."
"P048F","Sensor/Interruptor de Posição da Eletroválvula 1 de Controle da Pressão dos Gases de Escape.","Circuito intermitente."
"P0490","Eletroválvula EGR 1.","Curto-circuito ao negativo."
"P0491","Sistema de Injeção de Ar Secundário - Banco 1.","Fluxo incorreto detectado."
"P0492","Sistema de Injeção de Ar Secundário - Banco 2.","Fluxo incorreto detectado."
"P0493","Eletroventilador do Radiador.","Rotação muito alta."
"P0494","Eletroventilador do Radiador 1.","Rotação muito baixa."
"P0495","Eletroventilador do Radiador 1.","Rotação muito alta."
"P0496","Linha do Cânister.","Fluxo de purga muito alto."
"P0497","Linha do Cânister.","Fluxo de purga muito baixo."
"P0498","Eletroválvula de Ventilação do Cânister.","Curto-circuito ao negativo."
"P0499","Eletroválvula de Ventilação do Cânister.","Curto-circuito ao positivo."
"P049A","EGR 2.","Problema mecânico / Fluxo incorreto."
"P049B","EGR 2.","Fluxo muito baixo ou insuficiente."
"P049C","EGR 2.","Fluxo muito alto ou excessivo."
"P049D","Eletroválvula EGR 1.","Limite de aprendizado excedido."
"P049E","Eletroválvula EGR 2.","Limite de aprendizado excedido."
"P049F","Eletroválvula 2 de Controle da Pressão dos Gases de Escape.","Circuito aberto."
"P04A0","Eletroválvula 2 de Controle da Pressão dos Gases de Escape.","Problema de desempenho / Fora da faixa."
"P04A1","Eletroválvula 2 de Controle da Pressão dos Gases de Escape.","Curto-circuito ao negativo."
"P04A2","Eletroválvula 2 de Controle da Pressão dos Gases de Escape.","Curto-circuito ao positivo."
"P04A3","Eletroválvula 2 de Controle da Pressão dos Gases de Escape.","Circuito intermitente."
"P04A4","Eletroválvula 2 de Controle da Pressão dos Gases de Escape.","Eletroválvula presa na posição aberta."
"P04A5","Eletroválvula 2 de Controle da Pressão dos Gases de Escape.","Eletroválvula presa na posição fechada."
"P04A6","Sensor/Interruptor de Posição da Eletroválvula 2 de Controle da Pressão dos Gases de Escape.","Falha elétrica no circuito ou componente."
"P04A7","Sensor/Interruptor de Posição da Eletroválvula 2 de Controle da Pressão dos Gases de Escape.","Problema de desempenho / Fora da faixa."
"P04A8","Sensor/Interruptor de Posição da Eletroválvula 2 de Controle da Pressão dos Gases de Escape.","Curto-circuito ao negativo."
